"Group","Pooled_OR","CI_low","CI_high","Tau2","I2"
"Sex — Meds",0.566912902708583,0.361713114566994,0.888522495630844,0.595730955242262,0.949309112147021
"Sex — Dexa",0.417531491230718,0.357668797415394,0.487413348408133,0.0100122619321525,0.241300877825272
"Race — Meds",0.508760564718853,0.323723219327136,0.799563629544536,0.226103788840515,0.950692109376887
"Race — Dexa",0.737658608822357,0.262885009195156,2.0698792404925,0.372110429360726,0.541988208926719
